symbol	cluster	HLA-A	HLA-B	HLA-C	HLA-DMA	HLA-DMB	HLA-DOA	HLA-DOB	HLA-DPA1	HLA-DPB1	HLA-DQA1	HLA-DQA2	HLA-DQB1	HLA-DQB2	HLA-DRA	HLA-DRB1	HLA-DRB5	HLA-E	HLA-F	HLA-G
C73	cluster1	74020.32	123568.88	70646.87	2535	3273	385	313	13530	6722.35	1429.32	15.68	3963	0	35574	21287.38	7825.47	85371.68	6085.95	7.03
C74	cluster1	79224.26	155535.02	103336.88	1620	1954	535	413	5017.26	3186.3	876.26	777.74	1841.01	6.99	17019	8585.7	3690.37	107387.98	4878.35	130.45
C79	cluster1	71985.53	142289.96	63680.77	2198	2787	1127.26	780	5924	4911.94	1062.22	611.78	1767.61	12.39	26330	12863.91	149.1	117844.82	5489.62	136.14
C82	cluster1	64257.17	97716.94	66713.09	2015	2246	363.15	109	6148	4373.31	2084.57	41.43	2931.26	6.74	26371	11397.48	5537.44	72123.62	5564.76	55.51
C83	cluster1	135219.46	177433.83	51076.04	2456	2684	100.8	178	6976.03	4875.83	1807.27	1182.73	1516.49	16.7	20533	16212.01	5451.03	122455.88	9271.67	197.13
C84	cluster1	111477.11	268941.23	156262.68	1686	1631	86.01	234	3809	2817	194.01	147.99	498	0	13246	5409.3	237.91	133330.3	8147.77	81.34
C86	cluster1	96757.97	175485.3	65276.55	3119	3406	473.41	408	7326	4597.87	1915.19	454.81	4899	0	27113	16999.23	166.11	99597.65	7322.37	179.74
C87	cluster1	81883.07	132319.14	82257.61	4372	3764	721.08	485	13455.13	10473.41	2828.65	211.35	3475.19	11.81	46300	15403.26	1475	91548.48	7817.86	61.3
C9	cluster1	56918.01	165567.17	95606.74	603	646	176.02	169	1969.37	1182.63	269.93	269.07	669	0	5467	2113.54	0	110938.41	7736.78	115.86
C90	cluster1	115124.46	176469.64	84978.43	1799	2546	346.19	481	5683	4890.82	1581.34	1979.66	1623.73	13.34	18037	9432.82	78.92	136465.34	9685.41	174.74
C91	cluster1	117137.32	196385.03	103821.17	2581	2312	756.83	433	7062	6912.65	2734.79	37.21	6946	1	21659	11361.18	3936	125846.57	10582.79	159.71
C93	cluster1	93948.59	221420.89	121894.39	1714	1282	506.2	471	4546.05	3350.95	784.3	271.7	1636.79	0.21	12025	8371.22	214.46	137030.24	10011.84	78.13
C94	cluster1	148577.9	327690.65	157975.41	2733	2204	563.59	505	9678	10486.82	2017.85	1505.15	2778.91	13.09	16538	17052.68	891.23	165552.68	17580.04	281.57
C95	cluster1	64825.16	162241.82	104884.3	1056	1129	335.12	272	2411	1474.21	686.65	22.35	2098	0	9679	5461.56	117.88	116845.55	5827.07	78.02
C98	cluster1	153851.03	305532.42	160912.27	1864	1541	143	157	3753	4398.05	586.63	384.37	3672.33	2.67	8627	9013.89	2895.33	149748.79	11914.65	248.06
C102	cluster2	77122.66	167232.8	106841	492	348	265.38	223	1869.08	1972.92	401.14	348.86	401.92	4.08	4347	3223.71	32	138627.77	7331.33	67.34
C103	cluster2	168804.42	348106.95	223300.96	1005	654	55.22	185	1765	1196.04	147.93	2.07	509	0	5552	3067.32	20.74	255458.71	12859.17	187.04
C12	cluster2	93925.98	196900.65	142106.76	819	1055	283.02	158	2515	2245	231.75	280.25	492	4	11017	4642.52	2123.39	143747.15	6377.25	230.41
C14	cluster2	95308.81	171291.13	126669.06	481	444	357.21	333	1310	1202.16	431.89	75.11	349.63	8.37	6570	2030.08	79.38	152263.46	7179.5	95.44
C15	cluster2	48309.87	118158.87	73673.86	363	360	273.24	199	1058.18	937.82	556.15	6.85	603.75	0.13	4810	1827.22	660.58	107144.35	3931.29	76.72
C2	cluster2	49201.31	113738.91	48751.26	1733	1926	258.07	172	4751.3	4001.65	719.36	13.64	1570.16	7.82	18626	8148.44	3417.63	83693	5279.12	136.4
C20	cluster2	56808.48	218531.9	121396.34	609	761	168	187	1995	1484.24	542.9	11.1	1117	1	8210	2236.34	1094.23	153648.2	7651.73	70.25
C21	cluster2	106975.21	197602.89	116542.52	543	647	85.51	66	1187	882.21	270.41	173.59	221.9	3.1	6008	2187.91	856.07	165059.47	6894.67	123.22
C22	cluster2	80182.93	130573.42	63809.69	465	430	91	74	699.76	417.24	93.38	13.62	103	0	5492	1005.25	1.52	121846.89	1629.47	62.51
C23	cluster2	43477.84	108240.03	56787.99	912	917	136.11	126	1535.07	1085.03	104.75	10.25	193.86	2.14	7712	2402.08	187.9	106202.67	3393.92	80.35
C24	cluster2	67853.47	168178.52	92452.72	757	574	128.1	122	1591	1145	400	0	1365.93	0	7007	2734.81	178.7	138663.14	3525.07	13.63
C26	cluster2	89761.07	204535.74	88144.74	1133	1285	288.44	525	2337	2107.27	691.72	301.28	1929.29	1.71	9065	4024.77	33.65	157509.24	6806.4	163.88
C27	cluster2	92041.69	210102.13	91113.94	803	596	141.56	447	1620	1384	300.06	296.94	376.12	0.88	5722	2948.28	969.39	162137.12	5716.01	93.46
C28	cluster2	96705.03	223100.1	153443.45	642	665	75	151	1531	1122	267.79	10.21	277.86	4.14	6229	2976.86	1099.09	182203.74	7397.06	103.51
C29	cluster2	90233.41	225353.44	186223.58	691	935	92.4	85	859	601	209	0	938	0	5344	2905.63	1714.85	133861.55	8435.54	163.46
C3	cluster2	157385.91	320498.8	207450.86	1701	1905	102	237	7239	4446	1217.6	1492.4	1292.11	13.89	18866	14001.7	146.16	207004.61	10464.19	91.51
