symbol	cluster	IL10	IL10RA	IL10RB	IL11	IL11RA	IL12A	IL12B	IL12RB1	IL12RB2	IL13	IL13RA1	IL13RA2	IL15	IL15RA	IL16	IL17A	IL17B	IL17C	IL17D	IL17F	IL17RA	IL17RB	IL17RC	IL17RD	IL17RE	IL17REL	IL18	IL18BP	IL18R1	IL18RAP	IL19	IL1A	IL1B	IL1F10	IL1R1	IL1R2	IL1RAP	IL1RAPL1	IL1RAPL2	IL1RL1	IL1RL2	IL1RN	IL2	IL20	IL20RA	IL20RB	IL21	IL21R	IL22	IL22RA1	IL22RA2	IL23A	IL23R	IL24	IL25	IL26	IL27	IL27RA	IL2RA	IL2RB	IL2RG	IL3	IL31	IL31RA	IL32	IL33	IL34	IL36A	IL36B	IL36G	IL36RN	IL37	IL3RA	IL4	IL4I1	IL4R	IL5	IL5RA	IL6	IL6R	IL6ST	IL7	IL7R	IL9	IL9R
C73	cluster1	171.5	11288	4418.59	1.99	431	13	2	941.56	204.02	1	2928.03	0	531.38	346	7928.21	0	0	0	2	0	10542.52	49	95	30.13	8	5.06	315	289	625	2439	2.01	0	3292	0	262.01	620	1020.82	0	0	47	0	7587	1	0	0	31	0	513.06	0	1	0	87	6.99	52.99	0	3	54	2406	356	3176	12034	0	0	24	4056	0	0	0	0	0	0	0	269	17	98.05	4040	0	128	9	7907.28	5253	43	11666	0	32
C74	cluster1	19.93	4482	5104.86	3.15	261	11	1	516.87	36.01	0	3848	1	209.79	231	9602.18	0	0	0	2	0	17357.95	37	36	18.01	7	3.06	307	96	2166	4739	1	3	2972	0	927.93	6411	1141.67	0	0	50	1	3582	0	0	0	13	3	184.42	0	0	7	50	1.03	13.88	1	2	15	1525	317.56	356	12868	0	0	24	2265	0	5	1	1	0	0	0	177	16	4.15	11798.99	0	450	5	13903.06	2294	18	7293	0	15
C79	cluster1	21	4459	4125.69	3.3	287	14	0	444.22	112.72	0	10665.01	0	194.13	108	12868.79	0	0	0	2	0	15761.31	25	31	18.45	6	10	356.13	230	669	11244	0	0	4233	0	941.03	9430	2475.93	0	0	54	2	2939	1	0	1	22	0	253.91	0	0	0	57	6.06	89.91	0	3	12	1018	153	1996	17918	0	0	2	4131	0	3	0	0	0	0	1	142	4	5	9645	0	621	10	12640.27	2508.06	15	15003	1	25
C82	cluster1	72.23	4654	3578.26	4.9	272	8	1	610.27	64.04	0	5165.13	0	156.43	187	9590.8	0	0	1	1	0	11466.42	16	48	27.29	3	6.36	321	204	926	4290	0	1	2325	0	432.99	2110	1707.96	0	0	16	0	3022	3	0	0	13	1	257.01	0	0	0	81	5.14	17.71	0	1	8	1127	163	1331	9731	0	0	6	2706	0	1	1	0	0	0	0	155	2	15	9206.99	0	80	0	11013.45	1937	17	5316	0	25
C83	cluster1	58.51	5743	4688.73	3.41	235	32	0	1330.36	69.85	1	3359.75	0	457.22	388	5965.98	0	0	7	4	0	10826.31	21	87	38.51	4	1.16	357.24	186	1651	9476	4	3	3368	0	398.09	1722	537.08	0	0	16	1	7794	0	0	0	19	1	277.06	0	0	0	16	2.03	14.59	2	0	59	1430	42.38	1852	12580	0	0	35.87	4692	0	0	0	0	0	0	0	95	7	22.03	7738.98	0	55	2	6172.4	1479	12	2753	0	13
C84	cluster1	46.75	4665	4918.81	6.06	275	3	0	532.79	74.01	1	7069	0	576.78	235	9340.89	0	0	2	3	0	14228.01	57	54	13.16	4	4	311.77	173	2308	10955	1	1	3105	0	819.01	11534	895.65	0	0	104	6	5723	0	0	0	23	3	304	1	0	1	39	1.49	23.17	1	18	46	1213	641	875	15652	0	0	2	7309	1	14	0	0	0	0	1	363	6	12	9757	1	817	2	9019.45	1442	23	2251	0	32
C86	cluster1	37.14	5801	4056.64	5.36	392	36	1	742.25	43.01	0	2862.1	0	422.45	340	7087.5	0	1	1	2	2	9323.63	13	66	24.57	15	4.96	274.97	220	1128	7711	1	1	1828	0	394.54	1281	289.58	0	0	56	0	5207	0	0	0	22	2	252.01	0	0	0	60	4.52	49.88	2	3	19	1437.02	130.49	1048	13713	0	0	4	4298	0	1	1	0	0	0	0	82	1	19	6040	0	46	2	5432.67	1967	19	5567	0	33
C87	cluster1	54.59	6330	3215.29	3.56	533	10	1	704.7	79.98	0	6166.66	0	287.15	179	7293.48	0	0	0	0	0	8514.09	21	72	24.07	13	6.14	424.72	158.02	696	4500	5	0	5383	0	543.29	1718	1165.38	0	0	51.01	0	3838	1	0	20	29	5	324.83	0	0	1	72	1	51.18	4	1	26	1513	182.27	2225	9725	0	0	13	4611	0	4.99	2	0	0	0	0	130	6	24	6272	0	169.01	2	6840.3	2470	30	7163	0	19
C9	cluster1	44.22	3874	4263.32	5	175	32	0	678.52	40.17	0	7193	0	112.99	219	8047.75	0	0	1	3	0	17487.99	14	27	22.42	3	8.03	306.04	73.08	15173	14907	1	0	473	0	5483.76	59309	3262.41	0	0	333	18	3382	0	0	0	23	3	129.29	0	0	0	19	2	6.95	0	1	22	1254.05	49.01	678	10572	0	0	6	1272	0	0	0	0	1	0	0	59	0	1	6824.05	0	109	16	11768.24	2778	9	2896	0	19
C90	cluster1	35.75	6305	4715.36	1.05	282	50	0	768.3	62.38	1	8360.94	0	237.22	196	8679.12	0	1	0	1	0	11725.2	7	46	25.06	2	9.98	377.01	184	6397	5566	0	0	2913	0	1855.76	18194	2660.42	0	0	223	9	3675	0	0	0	19	7	303.04	0	0	0	55	0.89	41.2	0	2	13	1296	108	1647	10608	0	0	29.04	4347	3	1	0	0	0	0	0	123	1	7	10030	0	65	10	10432.53	2082	33	5044	0	42
C91	cluster1	30.48	5797	3839.84	5.99	832	17	1.02	912.63	52.5	1	5578.16	0	186.97	161	10779.9	0	1	1	3	0	7515.33	12	29	19.54	19	5.01	209.72	141	454	3464	1	1	4285	0	360.11	2349	1344.64	0	0	42	0	3548	1	0	0	13	2	537.21	0	0	0	189	3	79.44	2	3	9	1468.15	241.24	2398	13241	0	0	3	8426	0	24	1	0	0	0	0	293	15	12	6591	0	758	7	9477.43	1192	22	12924	0	73
C93	cluster1	213.91	5059	5185.03	1.15	285	35	0	905.48	71.97	0	5572.75	0	190.88	278	6646.48	0	1	2	3	0	10923.06	29	52	21.95	5	4.89	283.08	136.02	8163	11769	5	0	1568	0	926	57910	666.12	0	0	120	2	6310	0	0	0	25	2	353.03	0	0	0	55	0	58.15	0	2	43	1413.03	120	1306	8308	1	0	5.02	4200	0	0	1	0	0	0	0	54	1	17.06	11686.01	0	3	7	6136.65	1856	38	4134	0	53
C94	cluster1	19.38	7857	3056.85	0	1520	23	0	1644.92	83.23	0	4346.05	0	177.19	242	12169.39	0	0	2	5	0	6817.47	13	55	31.94	31	3.47	147.65	285	378	2792	1	0	2085	0	179	1325	366.93	1	0	16	3	5902	0	0	0	26	3	1220.41	3	3	0	117	2.1	155.99	3	1	32	2693.06	159.02	3010	24041	0	0	0	22883	0	1	1	0	0	0	0	161	22	26.1	5605	0	71	3	4122.32	1587	18	9374	0	35
