symbol	cluster	IGHA1	IGHA2	IGHD	IGHE	IGHG1	IGHG2	IGHG3	IGHG4	IGHM	IGHMBP2
C43	cluster2	709.62	236.38	50	2	1754.09	417.2	137.79	78.92	723	121
C44	cluster2	2795.98	352.02	108	3	16814.06	580.86	1288.84	153.24	4551	128
C45	cluster2	2997.06	181.94	75	9	11741.1	1130.63	546.68	220.59	1520	148
C46	cluster2	397.79	89.21	349	7	356.85	231.05	105.52	12.58	2321	187
C47	cluster2	5830.58	198.42	46	1	20972.62	1112.17	2386.3	234.91	2183	135
C48	cluster2	9130.94	1060.06	313	11	42872.61	8528.68	3217.85	872.86	8285	229
C49	cluster2	17885.99	1660.01	398	21	21087.3	4167.71	9938.77	718.22	5646	325
C5	cluster2	3174.54	506.46	98	3	13597.44	600.08	566.33	272.14	6758	243
C50	cluster2	1345.37	100.63	63	2	6054.89	1117.08	914.65	95.38	1370	62
C51	cluster1	7407.8	541.2	476	9	49491.13	2197.98	6564.72	76.17	3719	376
C52	cluster2	0	0	0	0	3	5	2	0	2	124
C53	cluster1	1781.51	216.49	193	4	17858.33	2089.43	1438.33	304.9	5350	167
C55	cluster2	3778.2	311.8	161	0	23480.43	1050.6	1002.91	133.06	5320	119
C56	cluster2	21000.34	2177.66	184	29	56965.61	14878.81	2278.23	1702.35	14711	327
C57	cluster1	47085.62	4778.38	849	9	77720.37	3512.93	7479.25	991.45	56943	342
C58	cluster2	77837.42	6316.58	1871	87	159947.03	25674.74	30739.45	5720.78	48582	214
C59	cluster1	617.58	249.42	618	8	1033.56	666.51	244.07	104.86	5088	331
C6	cluster1	14783.78	587.22	314	19	66913.92	6312.83	13398.69	1258.56	19026	175
C60	cluster1	3659.68	1551.32	101	10	13787.29	2837.67	1076.95	244.09	3590	275
C61	cluster1	9068.04	614.96	159	83	40500.17	1550.13	12460.12	632.58	9858	237
C62	cluster1	18.72	32.28	278	5	122.41	43.76	32.13	5.71	1845	499
C63	cluster1	5166.21	458.79	869	6	12415.47	1471.33	1198.04	228.16	12689	245
C64	cluster2	2865.09	1079.91	223	7	11592.81	1918.7	1324.27	476.22	2816	232
C65	cluster1	25956.99	338.01	263	1	12424.81	1605.99	1419.99	287.21	7089	270
C66	cluster1	4813.46	1510.54	986	13	7321.86	2349.05	996.09	179	16491	270
C67	cluster1	309222.79	22712.21	183	29	252477.91	81385.33	238068.26	8141.49	344534	379
C68	cluster2	66605.56	9440.44	310	12	142512.83	12163.85	6862.79	696.53	37097	262
C69	cluster1	39886.7	1039.3	173	8	46755.16	28633.23	10270.2	1475.42	13061	450
C7	cluster1	29076.51	13590.49	598	7	67772.12	5558.57	7862.82	1290.48	24372	257
C70	cluster1	4672.23	1305.77	109	22	6869.27	1175	380.58	196.14	3112	296
C71	cluster2	5156.39	134.61	179	6	35332.63	2655.56	4245.33	646.48	6299	205
C72	cluster1	19890.59	3783.41	620	72	24322.39	4898.62	2556.57	722.42	22199	299
C73	cluster1	1244.87	313.13	188	3	1563.22	592.87	108.4	161.51	3298	286
C74	cluster1	35923.85	4361.15	501	19	47538.88	18271.05	7832.3	861.77	9398	274
C75	cluster2	1412.21	222.79	81	4	8568.36	1243.45	378.45	252.74	3840	148
C76	cluster2	1311.31	122.69	47	3	1229.73	318.6	215.15	6.51	407	226
C77	cluster2	2	0	0	0	5.32	2.68	0	0	3	365
C78	cluster2	959.78	430.22	57	12	1091.34	606.59	133.97	260.11	1454	144
C79	cluster1	410.32	48.68	550	5	1222.1	217.73	261.7	21.47	3566	134
C8	cluster2	2136.3	509.7	140	2	7373.88	1942.03	898.26	39.83	840	182
C80	cluster2	4531.16	830.84	89	2	3622.09	614.79	370.84	120.28	4779	214
C82	cluster1	231.32	37.68	72	4	451.06	189.25	94.79	7.9	745	297
C83	cluster1	20999.42	705.58	25	11	10964	1296.5	1562.34	293.16	6829	264
C84	cluster1	1553.47	500.53	47	8	1842.74	583.93	494.97	88.35	1141	307
C85	cluster2	1655.81	632.19	207	37	2610.84	640.92	263.73	56.51	1840	104
C86	cluster1	20253.21	1312.79	345	7	46121.43	13845.28	10124.46	1329.83	25902	345
C87	cluster1	20323.35	1061.65	417	3	23176.64	1022.71	2111.07	335.58	7206	344
C89	cluster2	969.78	135.22	50	0	370.95	538.03	156.45	38.57	1262	264
C9	cluster1	85135.23	1498.77	147	9	259972.5	23724.23	42362.74	4342.53	49469	396
C90	cluster1	12615.18	1504.82	317	20	289173.9	10836.77	24865.75	3737.58	39904	221
C91	cluster1	1977.45	559.55	387	10	2030.24	1187.62	389.98	89.16	5722	230
C92	cluster2	11524.02	1265.98	657	8	5405.92	254.64	500.59	140.85	3406	152
C93	cluster1	98594.05	943.95	989	26	52882.11	4742.09	5169.38	1616.43	43938	326
C94	cluster1	25675.15	4701.85	2664	21	24639.65	13219.08	4722.28	942.99	40602	683
C95	cluster1	14276.99	814.01	224	3	36608.61	3613.66	4308.26	732.47	42318	383
C96	cluster2	3403.87	1076.13	1617	14	2244.32	1107.57	931.14	301.97	10155	135
C97	cluster2	69360.36	2936.64	460	35	33385.52	3835.39	4486.96	644.12	9776	158
C98	cluster1	47553.3	18690.7	271	9	78560.8	11671.3	16003.05	2411.86	10267	533
C99	cluster2	11774.64	709.36	377	6	20904.3	4408.48	2820.27	568.94	5837	192
