	C1	C10	C100	C101	C11	C13	C16	C17	C18	C19	C25	C30	C33	C34	C35	C4	C51	C53	C57	C59	C6	C60	C61	C62	C63	C65	C66	C67	C69	C7	C70	C72	C73	C74	C79	C82	C83	C84	C86	C87	C9	C90	C91	C93	C94	C95	C98	C102	C103	C12	C14	C15	C2	C20	C21	C22	C23	C24	C26	C27	C28	C29	C3	C31	C32	C36	C37	C38	C39	C40	C41	C42	C43	C44	C45	C46	C47	C48	C49	C5	C50	C52	C55	C56	C58	C64	C68	C71	C75	C76	C77	C78	C8	C80	C85	C89	C92	C96	C97	C99	NC1	NC10	NC11	NC12	NC13	NC14	NC15	NC16	NC17	NC18	NC19	NC2	NC20	NC21	NC22	NC23	NC24	NC25	NC26	NC3	NC4	NC5	NC6	NC7	NC8	NC9
Endothelial cells	0.00198066	0.007277076	0.001744876	2.01E-20	2.63E-19	0	0	0.000410737	0.000583891	0	0.001040186	0.00291987	0.003611569	5.43E-21	0.001702246	0	0.001386187	0	5.63E-21	0	8.23E-21	1.17E-20	0.000451054	0.004285469	0.000666949	0.001747695	2.14E-19	0.00380574	2.72E-20	7.58E-20	0.001332539	0	3.55E-20	0.003043168	7.77E-21	0.000820043	0.001091383	0.001486916	0.000715524	0	0.00544391	0.000155281	0	0.004973948	0	0.002239414	9.66E-21	0.006745159	0.006961829	0.005516122	0.004301799	0.006012439	0.001265952	0.002370037	0.001070767	0.005502955	0.003894829	0.002574328	0.003063197	0.003999899	0.004212242	0.007201997	0	0.011985634	0.002431344	0.00526	0.000428921	0.000314641	0.008993702	0.003387091	0.011312465	0.001647992	0.009733883	0.005278576	0.005130315	0.001849996	0	0	0	0.002996789	0.012838558	0.0019549	0.003188476	0.000950605	0	0.000396212	3.85E-20	0.00332572	0.006329797	0.011293526	0.005404243	0.000940366	0.006904052	0.008044446	9.59E-21	0.00040182	0.00458303	2.89E-18	5.16E-19	0.001145597	0	0.00223375	8.92E-05	0.00766275	0.000251883	0	3.99E-19	0.001306762	0.000456087	0.003654462	0.009740613	0.000794782	0.004183902	0.000678135	2.36E-18	0	0	1.75E-18	0.045386864	8.20E-20	0.002774055	0.004275452	0.001813624	7.30E-22	6.57E-19	0
Eosinophils	0.001448029	0.020982027	0.006248111	0.034246203	3.85E-19	0.001992538	0.003449129	0.016290752	0.019045528	0.010706399	0.059253548	0	0.004484518	0.070608414	0.033464189	0.021035781	0.023474274	0.013973638	0.008680226	0.00815873	0.029694223	0.018778019	0.017128092	0.003966519	1.41E-18	0.008422545	0.001635036	0	0.01754375	0.017255317	4.90E-19	0.057726255	0.00097034	0.050437932	0.022474289	0.004516863	0.003934644	0.083007151	0	0.006111886	2.65E-20	0	0.040793475	2.11E-18	0	0.004111496	0.018406551	2.68E-19	0.009648717	2.35E-19	5.20E-19	0.015169786	0.031167596	0.010049296	0	0.032013931	0.022113662	0.003190254	0	0.03103576	1.83E-19	1.55E-19	0.010604036	0.054783014	0	0.021576734	0.010662733	0	0.023575097	0	0.000874407	0.007441965	0.047588399	0.000273855	0.025775415	0.00212814	0.002621334	0.018503781	0.033315107	0.000732858	0.036489093	0	0.022336618	6.64E-19	0.028954958	0.01811652	0.018085987	0.029903288	0	0.008284279	0.001067956	0.000130364	0.037144936	0.013047723	0.07968839	0.029204144	0.019656399	0.035947047	0.001354934	0	0.031884198	0	0.057406231	0.013690737	0.002503733	7.53E-20	0.022313711	0.050029774	1.82E-19	0.019907711	0	4.96E-20	3.12E-20	0.058185885	0	0	0.015607745	0.017421528	0.008000686	1.06E-21	0.011337528	0.000654809	0.000448357	0.017684869	0.004450396	0.009823273
Epithelial cells	0.000990862	0.005689687	0.003445213	0.002804559	0	0.001139303	0	0.001413018	0.002121026	0.000838034	0.001138375	0.001209136	0.004548141	0.002906876	0.004397867	0.000905935	0.00325416	0	0.001278239	0.002295474	0.002692993	0.000860863	8.22E-22	0.004733907	0.001034202	0.00285325	0.001947783	0.0074999	0.001232472	0	0.00125465	0.000318993	0.00014587	0.001840849	0.002575735	0.001667176	0.001004499	0.004453692	0.004088929	0.001373036	0.001456102	0.002913375	0.002778218	0.002406004	0.00199213	0.004021731	0.004117773	0.000438754	0.01074618	0.001880042	0.004669255	0.005007502	0.005196161	0.003701906	0.002836576	0.004517219	0.003087976	0.006612104	0.003601158	0.004394152	0.005490246	0.00623827	0.00262027	0.004553268	0.007927285	0.004572234	0.003847931	0.009327329	0.005117382	0.002796871	0.005570071	0.002790585	0.012297337	0.002424886	0.008580934	0.006329037	0.003724225	0.006088455	0.001945847	0.005367446	0.004582909	0.006471324	0.002127169	0.00432503	0.004453859	0.001814838	0.005072992	0.001906802	0.001485815	0.0013479	0.005834008	0.004295487	0.002860597	0.008748974	0.004973292	0.002109509	0.00229632	0.00440679	0.006619938	0.010997193	0.006992132	0.005467567	0.002199739	0.002786696	0.003468206	0.002184477	0.000763537	0.009033478	0.003594861	0.005189392	0.005607502	0.004838174	0.002896833	0.007072922	0.007695736	0.007574595	0.003870662	0.00535778	0.006216817	0.006265934	0.004111649	0.004543379	0.000781081	0.004442965	0.004535492	0.002838738
Erythrocytes	0	0.00095718	0.001662117	0	5.07E-19	0	9.10E-20	9.54E-20	0.008529278	0	0	0.010123265	0	0.016012666	0.001540775	0	0	0.000264664	0	0	0.001990652	0.002059852	0.000106406	0.007123958	0.001312949	0	4.15E-20	0	0.000536224	0	0	1.33E-18	0	0.029240439	0	0.000366138	0.000185462	9.96E-05	0	0.001484031	1.22E-05	0.006353578	9.93E-20	5.70E-19	0	3.28E-21	0.005416158	0.002985299	0.002886473	0.000308976	4.86E-20	0.005707724	1.27E-20	2.66E-20	0	0.005068953	0.0066961	0	0	0.002749743	7.37E-20	0	0	0.015613125	0.001369604	0.000486234	1.72E-20	0	0.020176528	0.000461279	0.022464144	0.003866494	0.039304028	0.001247534	0	0	0	0.050153771	0.001068998	0	0.201508603	0	0.002850212	1.46E-18	0.007875191	0.011747165	0.006137989	0.006048768	2.09E-19	0.001960679	0.00566961	0	0.016045664	0.000152094	0.003327721	0.009207124	0.037291242	1.08E-18	0.000422542	0	0	0.005700258	1.42E-20	2.04E-19	9.33E-20	0.011825546	1.68E-19	0.000265127	9.00E-21	0.002097145	0.001303897	0.000124612	6.32E-21	2.10E-18	0.000481239	0	5.05E-19	0	0.016207611	0.001757396	0.000783783	5.37E-19	0.000715084	0	0.000695652	8.26E-21
Fibroblasts	8.36E-18	1.17E-18	5.60E-18	1.34E-17	0	1.25E-17	0	6.48E-18	7.25E-18	0	9.14E-18	0	0	7.40E-18	9.44E-18	8.28E-18	0	0	9.72E-18	5.85E-19	6.87E-18	1.89E-17	1.70E-17	5.02E-18	7.94E-18	0	2.24E-18	2.21E-19	5.80E-18	1.69E-17	1.03E-17	0	7.79E-18	3.17E-18	5.46E-18	5.24E-18	0	1.93E-18	0	1.23E-17	0	8.54E-18	0	1.59E-18	0	3.75E-18	0	6.20E-19	0	0	1.94E-18	4.64E-19	6.90E-18	0	0.001483922	0	0	0	0	0	1.45E-18	0	1.43E-18	0	4.37E-18	5.79E-18	6.95E-18	0	0	2.95E-18	0	0	0	0	0	3.85E-18	0	0	1.63E-18	0	8.42E-18	1.32E-18	0	0	5.67E-18	0	0	4.20E-18	0	0	0	1.22E-18	0	0	5.46E-18	2.20E-18	0	0	0	1.02E-17	8.03E-18	8.26E-18	8.86E-19	0	0	0	0	0	9.13E-18	0	7.82E-18	6.50E-18	0	0	2.19E-17	7.02E-18	7.21E-18	0	0	9.74E-18	4.20E-18	4.83E-18	4.33E-18	0	0	1.14E-17
GMP	0.008385999	0.075737336	0.023758464	0.050382056	0	0	0.015502405	0	0.004458577	0.023177133	0.048753339	0.008925742	0.012244568	3.32E-19	0.025583234	0	0.059691745	2.69E-18	0	1.44E-18	0.012202352	0.019879503	0.009667479	0.047770398	0.006306273	0.007600936	0	1.62E-17	0.007314061	2.07E-18	0.003536359	9.64E-18	0.003288187	0.048771857	5.17E-18	0	0.004205559	0.019528311	1.81E-18	0.022852002	0.014763116	0	7.49E-18	0	8.47E-18	3.64E-19	0.062387907	3.00E-22	0.006193735	0.033630875	0	0.004351438	0.040729516	0.019119378	0	0.124672108	0.013239436	0.003689044	4.87E-18	0.04949241	3.56E-18	0.007637914	6.88E-18	0.04542805	0.042864728	0.030190392	0	0	0.037358066	0.02164832	0	0.00409845	0.026626071	0.023868517	0	0	1.60E-19	0.062450832	0	0	0.054834909	0	0.012453399	0	0	0.005270043	0.02405262	0.0554822	2.40E-19	0.017562778	0.022033401	0.007818201	0.079964903	0.031293846	0	0.002358246	0.048096774	9.83E-18	0	6.50E-20	9.64E-18	0	0	0	0	0	9.65E-18	0.02838848	0	0	0	0	0	1.98E-18	0	0	4.52E-18	8.61E-18	0.047166729	7.06E-18	0	0	0	0	4.35E-19	1.09E-17
Hepatocytes	0	0	0	0	0	0	0	1.84E-19	3.67E-19	0	0	0	0	0	0	0	0	5.68E-19	0	0	8.23E-20	3.12E-19	0	0	0	0	1.03E-19	3.47E-19	0	1.19E-19	1.42E-18	8.79E-20	4.48E-19	0	9.67E-19	0	0	1.74E-19	1.84E-18	0	1.01E-18	0	0	6.84E-19	8.40E-19	1.51E-19	6.68E-19	0.000149087	0	0	0	0	8.77E-20	0	0	0	0.000360866	0	0	0	0.001291028	0	1.09E-19	0.000547455	0	0	3.31E-19	0.000101749	0	8.72E-19	0.000216398	4.79E-05	0.000287831	0	0.000175387	0	0	1.45E-21	0	6.43E-19	5.30E-20	0	0.000797841	0.001190974	0	0.001332885	1.56E-19	0	3.66E-19	1.06E-22	0	0	8.97E-21	0	4.85E-19	0.000467855	3.12E-19	0	5.43E-21	1.30E-19	0	2.22E-19	0	4.63E-20	9.03E-20	0	0	1.73E-18	0	1.81E-19	1.61E-19	0	2.66E-19	0	5.21E-19	1.39E-18	0	5.83E-19	8.88E-21	0	1.87E-19	7.14E-21	0	0	0	0
HSC	0.005671357	0.055402901	0.02285244	0.010069499	1.95E-18	0	0.013996152	0.011079408	0.006161028	0.008174414	0.026102997	0.045335492	0.006681332	0.016844723	0.017425003	1.41E-19	0.026004789	0.015887482	0.002379669	3.36E-19	0.018882583	0.020487061	0.016919395	0.044553568	0.043014068	0.008979744	2.15E-19	0	0.009854498	0.000713171	0.009797647	0	2.96E-19	0.071456352	0.013289702	0.010172765	0.006572797	0.014351887	0.004153159	0.014327499	0.01280856	0.016067732	0.010307849	0	0	0.008800172	0.029222819	0.03122286	0.017148855	0.032145042	0.025843972	0.063741613	0.019494363	0.020517607	0.042491212	0.128067094	0.044945222	0.012942184	0.010492605	0.03342067	0.017728156	0.060492919	0.014497488	0.104070097	0.062521949	0.033778081	0.010081326	0.025136458	0.067524713	0.029480133	0.054147064	0.044632345	0.079613397	0.042823481	0.028091611	0.005170137	0.016461303	0.048485544	0.006634073	0.017643714	0.129152458	0.012839173	0.042059374	0.000411274	0	0.053765411	0.008807966	0.083770277	0.008790506	0.060813097	0.053113866	0.019517047	0.134145883	0.056561092	0.007146202	0.017811205	0.059268925	0	0.020420234	0.025329176	0.019310518	0.051294306	0.009209244	0.022772007	0.00400983	0.045196846	2.02E-21	0.034485889	0.007033167	0.018718219	0.010842084	0.018748144	0.01929814	0.016568442	0.00179386	1.01E-19	0	0.000762441	0.126025558	0.023666551	0.021984422	0.000973199	0.017349263	0.005388939	0.012562165	0.01126525
iDC	2.08E-19	0	0	0.057496805	0.014120961	0.016559788	0.008201234	0.014866762	0.007140848	0.011328443	0.037120176	3.24E-18	0	0.084280437	2.16E-20	0.041918573	0	0.005984676	0.011456701	0.024824109	0.009345552	0.013908623	0.036973961	1.26E-18	0	0.005330927	0.001357243	3.30E-18	0.031278777	0.026513113	0	0.096050145	0.014678342	0.014372285	0.027797135	0.014738214	1.55E-18	0.04077717	8.10E-19	0.011277253	3.68E-18	8.01E-19	0.05978772	7.16E-18	8.75E-18	2.23E-19	2.78E-18	4.41E-19	5.14E-18	1.55E-18	2.99E-18	1.31E-17	0.034972171	2.83E-19	0	0	0.012541838	4.53E-18	2.55E-18	0	2.38E-18	9.22E-18	0	0.033380632	1.48E-18	3.14E-18	0.01917473	1.95E-18	0.013790253	0	0	0	0.004417651	0.003242947	0.020577049	0.016038576	0.000924714	0	0.059140754	0.002685052	0.036701809	0	2.36E-18	1.27E-19	0.022893417	0.019313837	5.41E-18	5.54E-18	0	0	0	0.02288732	0.005973876	0	0.175354605	0.016959845	0.008292562	0.066335644	0	1.24E-17	0.115527872	0.012258193	0.094449296	0	0	0	0.02414385	0.008834222	0.014607892	3.66E-19	0	2.86E-18	0	0.07270545	0.036080905	0	0.032413404	0.037379807	1.07E-17	0.001429445	0.01374428	0	0.044226103	0.024638703	1.31E-18	0.075477866
Keratinocytes	2.23E-20	5.87E-20	3.52E-19	2.80E-21	4.34E-21	0	3.20E-19	0	0	1.60E-20	0	0	2.61E-19	0	0	0	0	4.30E-19	0	0	0	4.60E-20	5.76E-20	1.79E-19	0	0	0	0	4.41E-21	2.80E-20	0	0	0	0	0	0	4.21E-19	1.02E-20	0	0	1.35E-21	0	2.36E-21	8.62E-22	1.38E-20	8.48E-21	0	0	4.19E-19	0	1.02E-19	0	4.85E-19	0	1.24E-19	0	0	0	3.32E-20	0	0	0	0	2.11E-20	0	0	1.82E-19	0	2.61E-20	3.75E-20	1.02E-19	0	0	1.22E-20	2.86E-19	4.47E-19	0	0	0	0	1.07E-20	7.23E-20	0	0	6.47E-20	4.32E-20	0	1.87E-19	2.03E-19	0	5.16E-20	0	1.12E-20	0	0	0	8.22E-20	6.65E-21	5.77E-20	0	0	1.33E-19	0	0	1.52E-19	0	0	2.27E-20	0	0	0	0	7.97E-19	2.58E-21	0	3.08E-20	0	0	0	0	0	7.13E-20	3.83E-20	0	0	0
ly Endothelial cells	2.12E-20	0	1.16E-18	0	1.29E-20	9.47E-20	8.56E-20	3.51E-19	2.75E-19	0	0	3.09E-19	4.26E-20	0	1.14E-19	0	3.16E-20	0	0	0	0	0	2.06E-19	0	0	2.74E-19	1.28E-18	3.60E-18	0	1.75E-19	0	2.37E-18	1.04E-19	0	6.71E-21	2.18E-19	2.65E-19	0	0	0	4.62E-19	8.47E-20	5.43E-20	1.79E-19	7.82E-21	2.01E-19	1.73E-18	0.000224023	0.001273878	0	4.08E-20	0	3.25E-19	0	0	0.000552534	3.09E-20	0	0	0	0	0	4.95E-19	0.000322828	1.12E-19	0	9.24E-20	0	0	3.92E-20	0.000801956	4.38E-19	3.01E-19	3.56E-05	4.51E-20	5.40E-19	0	0	1.08E-18	3.52E-19	1.12E-19	5.82E-19	3.10E-21	0	3.45E-18	2.78E-22	0	0	0.000429763	8.46E-20	9.85E-20	0	7.42E-20	3.40E-19	1.60E-18	0	2.25E-19	0	6.00E-19	9.34E-19	1.01E-18	0	7.49E-19	4.34E-19	0	0	0	8.39E-20	0	0	0	0	0	1.04E-18	0	2.13E-18	8.76E-20	4.17E-18	0.005094754	0	0	0	7.43E-19	0	0	6.56E-19
Macrophages	0.031079379	0.013397269	0.014991761	0.002345983	0	0.002806626	0.007220446	0.002285331	0.020345037	0.005355251	0.005646862	0.006386419	0.005666064	0	0.003769071	0	0.024398717	0.000759765	3.56E-19	1.06E-19	0.002004599	4.99E-22	0.00160166	0.009754997	0.002375199	0.008925387	0.018827826	0.006102804	0.005651774	0	0.016491368	0.005056483	0.013339464	0.013104485	0	0.003499645	0.019315267	0.012110629	0.008728701	0.010919108	0.011474515	0.001958023	0	0.017358421	0	0.007027176	0.011074063	0.014795485	0.020388304	0.015106437	0.000578687	4.04E-19	0.00921487	0.000517693	0.003803504	0.012262237	0.016907868	0.005609299	0.004274431	0.00797498	0.002527958	0.016512866	0.010778167	0.007745558	0	0.012262315	0	0.003021864	0.021975168	0.011045886	0.011258015	0.003813065	0.005467416	0.022704179	0	0.005975995	0.006081022	0.017790694	0.020044928	0.00949303	0.012517662	0.018132589	0.004318971	0.003634093	0.007956569	0.006697283	0.024211947	0.003064447	0.013450872	0.062580826	0.016353565	0.024296501	0.014365635	0.015675622	0	0.006640058	0.024103303	7.71E-19	0	0.000280523	1.61E-19	0.020822705	0.006111436	0.029104075	0.015433832	0.008048906	9.56E-21	0.009888767	0.012999765	0.024708667	0.028500719	0.010192042	0.003264769	0.000365782	2.08E-20	0.011450801	0.000696743	0.000875552	0.038407267	0.017294009	0.006350131	0.019850018	0.032683763	0.001658256	0.010546346	0
Macrophages M1	0.023154817	0.005646255	0.01135559	0	0	0.00070627	0.002902695	0.000641987	0.008389054	0.00203643	2.05E-20	0.002385205	0.006356514	0	0.000380735	4.64E-19	0.012143213	0	5.60E-20	7.09E-20	1.79E-21	0	0.000374306	0.005751229	0.001453383	0.004595245	0.025932176	0.011620658	0.003637443	0	0.012539701	0.009351073	0.011295916	0.001010762	3.46E-19	0.000757761	0.016455053	0.006707635	0.005182079	0.002795985	0.006871023	0.001033184	0	0.026306451	0	0.002235589	0.00865402	0.011817321	0.013820756	0.005080956	0.00029049	7.65E-19	0.003333754	0.00014813	0.001295462	0.002142785	0.002053745	0.003813602	0.001445732	0.000504984	0.001395052	0.010603894	0.008887441	0.001347822	0	0.001798243	0	0.001682181	0.009989522	0.006091864	0.006771479	1.15E-20	0	0.003726671	0	0.00215194	1.55E-19	0.010581066	0.019417891	0	0.001221513	0.013154206	0.001692583	0	0.016744096	0.003005382	0.026246958	0.00079256	0.004235245	0.02196019	0.007502466	0.00968987	0.003928689	0.013327536	0.003884561	0.000365915	0.008385768	0.000850801	0.001128048	0.004977708	0.001048057	0.008744242	0.006015041	0.009841189	0.005100765	0.006066742	0.001187589	0.003386323	0.004611275	0.015622872	0.026650779	0.005192591	0.001033452	0.002361075	0.003347005	0.023881766	0.002288364	0.008629485	0.026884977	0.010317883	0.004196111	0.023239506	0.031734725	6.18E-19	0.009115848	3.37E-19
Macrophages M2	0.020027955	0.003899963	0.011718299	0.004063089	0.000688846	0.004246335	0.007861691	0.001359686	0.011968478	0.005612003	0.001859016	0.002668741	0.003736455	0.002457516	0.000804969	0.002332214	0.00907849	0.002524604	0.001736099	0.000308639	1.09E-19	3.84E-05	0.004506522	0.005220915	0.003444187	0.004679068	0.003062345	0	0.004618301	0.001332323	0.012989613	0.005347201	0.01752184	0.003021747	0.001118644	0.002417755	0.008641414	0.005044576	0.007686675	0.011278625	0.001495376	0.001229617	5.04E-20	0.007380624	0.000611022	0.002264238	3.67E-19	6.91E-05	0.004695383	0.002434783	0	9.40E-19	0.001193763	0	3.10E-05	0.002198548	0.007949353	0	0.004090056	0.003024523	0.000541348	0.005787381	0.004103084	0	6.40E-19	0.003091391	0	1.16E-19	0.00405002	0.000880746	0	0.001749595	0	0.013627259	4.14E-20	0.006704199	0.003475295	0.002716279	0.00332874	0.007029769	0.005606992	0.008702905	0.00070886	0.006216385	0.000643384	0.001523692	0.001233748	0.000120366	0.010650396	0.01088825	0.002308613	0.015360381	0.003012518	0.002629283	0.002960777	0.007799846	0.006702649	0.001034963	0	0	0.003276502	0.01003576	0.00658876	0.010239104	0.012667906	0.001722139	0.003736324	0.004384976	0.012951406	0.009302222	0.01023648	0.004261021	0.000208486	0.001375087	0.004257117	0.010294679	0.002118236	0.002417841	0.007454873	0.005827968	0.00080391	0.005060798	0.023724842	0.007651767	0.004463266	0
Mast cells	0.003089507	0	0.002483968	0.005710994	0.002250858	0	0.006403679	0.004922283	0.005937498	0.005847367	0.010118208	0.002617322	0.00565225	0.012659389	0.003183388	0.010789127	0.004940183	0.005229238	0.003627549	0.000600627	0.00764649	0.004184358	0.004084223	0.001957853	0.000897837	0.003811605	0	3.85E-20	0.009584517	0.005244758	0.002116908	0.007799674	0.00407726	0.01582259	0.004223202	0.004160325	6.50E-20	0.002348806	0.003178468	0.003057677	0.002162604	0.000879931	5.87E-19	0	0	0.002769538	3.18E-19	0.001276322	0.001864302	0.00125731	0.000673585	0.003886192	0.005722668	0.000745968	0	9.68E-21	0	0	5.64E-21	0.004837643	0	0	0	0.002164121	9.94E-20	0.002772877	0.003291316	3.62E-19	0.000946097	8.07E-21	0	0.004345794	0.001197947	0.004210189	0.003507022	0	0.002398581	0	0.001010551	0.000843752	0.00381112	0	0.000475413	0	0.000409787	0.000604427	0	0.001662376	0.002550063	0.000599317	0	0.004253473	0.004309909	0.000681804	0.004236127	0.006429209	0.001195052	1.15E-19	3.59E-21	8.55E-20	2.22E-19	0.001332623	0.0030615	0.001911599	0.000715285	0.000442723	0.003459911	0.000888356	0.002545176	0.001175407	0.000872698	0	0.000880149	0.00261767	2.11E-19	1.70E-19	0	0	0.000200579	2.73E-20	0.002331969	0	0.004887864	1.07E-19	5.50E-20	0
Megakaryocytes	0.000961851	0.022563733	0.012977254	7.05E-05	0.002549064	0.001712145	0.004037844	2.22E-21	0.00439168	4.23E-05	0.000393334	0.021027028	0.03621344	0.004384371	0.007949917	0	0.022541257	0.010495967	0.002075195	9.41E-22	0.002836304	1.49E-20	0.003361408	0.027678589	0.025788499	0.003812596	0.011314979	0.026429216	0.001307613	0.00096272	0.001990962	0.001477039	2.13E-20	0.007011633	2.94E-19	0.001893081	0.003907024	1.18E-19	0.013819975	0.000710929	0.011956539	0.003830319	8.98E-05	0.003808098	0.00262954	0.006369739	0.02008797	0.01262057	0.02965345	0.006304038	0.024764407	0.046112651	0.010573859	0.004610848	0.008091713	0.013975122	0.005531197	0.002298682	0.003671911	0.005141282	0.014863672	0.028077884	0.002519228	0.039462967	0.049088725	0.011182345	0.012421137	0.006901529	0.02167799	0.011767867	0.026182599	0.008469658	0.039544494	0.016342545	0.022177525	7.32E-05	0.003418065	0.008796623	0.019915452	0.007624626	0.015724884	0.004034964	0.01643388	0.019936649	0	0.006821524	0.006329918	0.020690484	0.018417283	0.004257058	0.016214182	0.005509973	0.018658924	0.048384624	0	0.006137853	0.006491593	0	0.007108197	0.026440301	0.004457559	0.027834344	0.001449499	0.002143431	0	0.009301546	0.000574522	0.000464532	0.000622895	0.003147133	0.006316277	0.003003367	0.008627936	0.004440176	0.010192465	0	2.37E-20	5.80E-20	0.072194748	0.00944199	0.009776574	0.011039529	0.008045381	0.00206606	0.002855985	0.001955787
Melanocytes	0.001472956	0.000680911	0.000315313	0.000235657	0	0	0	3.27E-05	0.000427087	4.17E-19	0.000193913	0	0.000398613	0.000826744	0.000472453	5.95E-05	0.000334176	0	6.18E-20	0.000130656	0	6.00E-21	0	0.00027231	1.49E-19	0.001314047	0	0.000694968	0.000104688	2.56E-19	0.001208148	0.000427229	2.50E-20	0.000157374	0	0	0.000704336	0.000703406	0.00041469	0.000333663	0.001398953	0.000122923	0	0.001343686	2.84E-20	0.000686089	2.89E-19	0.001247357	0.003002195	0.00120394	0.002078913	0.000280004	0	0.000110839	0.000263952	0.00032808	0.000948913	0.001125416	0.000694721	0.000980082	0.002356609	0.000768321	0.000922581	0.000726051	0	0.000356491	4.16E-05	0.000662752	0.001304977	0.0012229	0.001656562	0	0.000206947	0.000832219	0.00028782	0.000204529	0.000943066	0.000291349	0	0.000843818	3.53E-21	0.001157256	0.001476899	0.001025681	0	0.001839757	0	3.71E-05	0	0.00099245	0.001337204	0.000437961	0.00016131	0.000615295	0.000456725	0.000786504	0.000873468	0	0.000898301	0.000116651	4.62E-21	0	0.000572741	0.001003908	0.00023703	0.0006783	5.36E-21	0.000188679	0.000785428	0.000434301	0.000955166	0	4.24E-05	0	0	2.89E-20	0	0	0.000317987	0.000407215	0	5.48E-05	0	2.30E-05	0	4.98E-22
Memory B-cells	0.001931492	0.022386554	0.040093489	0.146870795	0.083352176	0.055047538	0.032134305	0.041833198	0.06595547	0.07787099	0.02927957	0.070583523	0.055669475	0.052725918	0.03501264	0.107274117	0.024850819	0.05984117	0.083522683	0.095743019	0.048323462	0.022039969	0.071546079	0.024646556	0.115542969	0.037662922	0.125814885	0.08601945	0.046670929	0.079049098	0.028117268	0.088256675	0.051822069	0.068107121	0.088949547	0.023483993	0.011934576	0.001601554	0.074680854	0.073072085	0.050716391	0.060986236	0.079504211	0.108172042	0.071542326	0.056616056	0.022511159	0.028657774	0.010366143	0.037865221	0.045385309	0.021045525	0.035824857	0.023133954	0.005384804	0	0.010934566	0.018913173	0.064963919	0.025014626	0.025996691	0.015995128	0.011469431	0.039635735	5.76E-18	0.013582039	0.020886175	0.031981005	0.016104667	0.003873349	0.030034594	0.08102857	0.007866913	0.06180857	0.033341751	0.063180227	0.052374439	0.039209526	0.065814937	0.052119516	0.021290463	0	0.028894879	0.05040887	0.123131881	0.047448139	0.069397477	0.019542306	0.037745478	0.000847365	0	0.031394436	0.006309061	0.018998495	0.051113172	0.041370091	0.037163444	0.171924222	0.062430115	0.04163331	0.114005447	0.023811672	0.071974557	0.025457749	0.035271406	0.0220264	0.033488747	0.124829788	0.07070582	0.0088083	0.044949421	0.012713019	0.023289752	0.054630421	0.1654933	0.113719741	0.130811147	0.169615	0.018311352	0.009696198	0.009523914	0.033583815	0.059830701	0.064180217	0.063230564	0.12722601
MEP	0.00501966	0.00495839	0.034750052	0.0420218	0.019864832	0.019900498	0.008515781	0.013571461	0.016328992	0.006065541	0.000671543	0.013513851	0.025661227	0.025667974	0.018093178	0.025824977	0.003656357	0.005367422	0.019457176	0.001847891	0.031408577	0.052205001	0.024288701	0.010650523	0.012105911	0.010799928	0.035661961	0.051425685	0.01739406	0.017662287	0.013904005	0.066169841	0.013756846	0.021726624	0.018602859	0.015847016	0.016541517	0.024976503	0.026305421	0.024312671	0.016726501	0.022482204	0.031270076	0.040702071	0.054022055	0.002550189	0.027037894	0	0.025834688	7.12E-19	0.002143172	0.000384332	0.011112138	0	1.86E-19	0.015406393	0	0	0	0.004276669	0	0.006016747	0.012918539	0.02032062	0	0.006817353	0.00179083	0.007944329	0.034609385	0.002413086	0.024415929	0.021625293	0.011711267	0.000519691	0.004811317	0.035475444	0.012285233	0.022967933	0.080143947	0.004049003	0.071434785	0.007421237	0.005544765	0	0.106257099	0.001246456	0.072339042	0.026253999	0.001321519	0.009019642	0.011314614	0.003234361	0	0.018245142	0.053898488	0.003008467	0.007146643	0.05597222	0.018358593	0.030495019	0.064119783	0.02119644	0.034169989	0.00624779	0.013633778	0.008266413	0.041983993	0.009532288	0.004129129	0.034979336	0.018055323	0.014090047	0.00997971	0.052652378	0.074888698	0.043140576	0.025680543	0.105880298	0.044085051	0.014618307	0.005448165	0.039169671	0.091683983	0.038107486	0.018014151	0.03680918
Mesangial cells	0	0.004773512	0	1.76E-18	2.46E-19	3.60E-19	0	0.000888542	0.000817841	0	0.002881794	0	1.02E-19	9.44E-20	4.49E-19	0	0.000486778	0.000757181	4.64E-22	4.40E-19	0.002997242	1.30E-18	0	0.006254888	0	0.000152033	5.86E-20	1.04E-17	0	0	6.88E-20	2.63E-20	0.000349038	0.000534425	0	0	0.002034134	4.25E-20	1.19E-18	0	0	1.33E-18	0	5.30E-19	3.95E-18	2.08E-19	0	0.001769848	0.000998371	0.003879907	0	0.001566387	0.000626503	1.95E-20	0.001474942	0	8.44E-19	0	7.95E-20	0.004247953	1.21E-18	2.15E-18	0	4.79E-20	0.009615327	0	0.000645499	1.34E-18	2.42E-18	0.003351353	4.03E-18	0.000478115	0	0	0.002793032	0	0.001270562	1.11E-18	0.004614942	4.06E-19	0	0	0.001879405	0	0	8.24E-19	0.000321912	0.002065069	1.42E-19	2.91E-18	1.16E-18	0	0.002948399	0.000476422	2.42E-18	0	5.48E-05	2.91E-18	0	0	6.98E-19	5.44E-19	1.99E-19	0	2.43E-18	3.02E-18	0	9.54E-20	0	0	0	2.60E-18	3.57E-20	1.19E-18	3.64E-19	0	0	9.63E-19	0	1.84E-18	1.65E-18	0.001580444	4.12E-18	0	4.35E-18	0
